Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_15_525.jpg;0;0;0;0;99.66999;85.58897;0.0002365188;55.98145;3.384558E-08
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_15_592.jpg;0;0;0;0;99.66999;85.58897;0.0002363459;55.98145;-1.306468E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_15_659.jpg;0;0;0;0;99.66999;85.58897;0.0002364396;55.98145;-4.368008E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_15_725.jpg;0;0;0;0;99.66999;85.58897;0.0002362355;55.98145;-4.992419E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_15_792.jpg;0;0;0;0;99.66999;85.58897;0.0002361802;55.98145;-6.835361E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_15_859.jpg;0;0;0;0;99.66999;85.58897;0.0002360782;55.98145;-7.147567E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_15_925.jpg;0;0;0;0;99.66999;85.58897;0.000236125;55.98145;-8.678369E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_15_992.jpg;0;0;0;0;99.66999;85.58897;0.0002360386;55.98145;-9.500864E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_059.jpg;0;0;0;0;99.66999;85.58897;0.0002360386;55.98145;-9.500864E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_125.jpg;0;0;0;0;99.66999;85.58897;0.0002360074;55.98145;-8.48035E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_192.jpg;0;0;0;0;99.66999;85.58897;0.0002360074;55.98145;-8.48035E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_258.jpg;0;0;0;0;99.66999;85.58897;0.0002360074;55.98145;-8.48035E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_325.jpg;0;0;0;0;99.66999;85.58897;0.0002362115;55.98145;-7.85594E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_392.jpg;0;0;0;0;99.66999;85.58897;0.0002363219;55.98145;-4.169989E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_458.jpg;0;0;0;0;99.66999;85.58897;0.000236448;55.98145;-9.942628E-08
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_525.jpg;0;0;0;0;99.66999;85.58897;0.0002367073;55.98145;1.473091E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_592.jpg;0;0;0;0;99.66999;85.58897;0.0002369042;55.98145;5.981535E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_658.jpg;0;0;0;0;99.66999;85.58897;0.0002371635;55.98145;8.448889E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_725.jpg;0;0;0;0;99.66999;85.58897;0.000237274;55.98145;1.213497E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_792.jpg;0;0;0;0;99.66999;85.58897;0.0002374709;55.98145;1.664341E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_858.jpg;0;0;0;0;99.66999;85.58897;0.0002377302;55.98145;1.911083E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_925.jpg;0;0;0;0;99.66999;85.58897;0.0002378407;55.98145;2.279678E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_16_992.jpg;0;0;0;0;99.66999;85.58897;0.0002380376;55.98145;2.730516E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_058.jpg;0;0;0;0;99.66999;85.58897;0.0002380928;55.98145;2.914817E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_125.jpg;0;0;0;0;99.66999;85.58897;0.0002380928;55.98145;2.914817E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_191.jpg;0;0;0;0;99.66999;85.58897;0.0002380928;55.98145;2.914817E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_258.jpg;0;0;0;0;99.66999;85.58897;0.0002380928;55.98145;2.914817E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_324.jpg;0;0;0;0;99.66999;85.58897;0.0002380928;55.98145;2.914817E-06
